id	name	district	lat	long
894	Harriet Tubman Middle School	Portland SD 1J	45.5392002	-122.6689836
895	Vernon Elementary School	Portland SD 1J	45.5624996	-122.6437449
896	Vestal Elementary School	Portland SD 1J	45.5244035	-122.579555
898	West Sylvan Middle School	Portland SD 1J	45.5040646	-122.7621042
900	Whitman Elementary School	Portland SD 1J	45.4685009	-122.5874613
902	Woodlawn Elementary School	Portland SD 1J	45.5749096	-122.653088
903	Woodmere Elementary School	Portland SD 1J	45.4750784	-122.5822678
904	Woodstock Elementary School	Portland SD 1J	45.4820466	-122.6115906
906	Benson Polytechnic High School	Portland SD 1J	45.52729290000001	-122.652893
909	Cleveland High School	Portland SD 1J	45.4985839	-122.6394501
911	Franklin High School	Portland SD 1J	45.5022707	-122.6068499
912	Grant High School	Portland SD 1J	45.53905049999999	-122.6265519
913	Jefferson High School	Portland SD 1J	45.5607844	-122.6720432
914	Lincoln High School	Portland SD 1J	45.5196845	-122.6911184
915	Leodis V. McDaniel High School	Portland SD 1J	45.5421748	-122.5797552
916	Metropolitan Learning Center	Portland SD 1J	45.5264228	-122.6932642
918	Roosevelt High School	Portland SD 1J	45.5890511	-122.7384029
922	Ida B. Wells-Barnett High School	Portland SD 1J	45.4772306	-122.6899441
925	Prescott Elementary School	Parkrose SD 3	45.5550437	-122.5560473
926	Russell Elementary	Parkrose SD 3	45.54136949999999	-122.5313001
927	Sacramento Elementary School	Parkrose SD 3	45.5391776	-122.5451523
928	Shaver Elementary School	Parkrose SD 3	45.54944099999999	-122.5287883
930	Parkrose Middle School	Parkrose SD 3	45.5503258	-122.5401153
931	Parkrose High School	Parkrose SD 3	45.5530003	-122.5406945
932	Dexter McCarty Middle School	Gresham-Barlow SD 10J	45.493226	-122.417732
933	East Gresham Elementary School	Gresham-Barlow SD 10J	45.4934721	-122.4194104
934	Gordon Russell Middle School	Gresham-Barlow SD 10J	45.491959	-122.39634
935	Highland Elementary School	Gresham-Barlow SD 10J	45.51427400000001	-122.427966
936	Hall Elementary School	Gresham-Barlow SD 10J	45.514345	-122.406657
937	Hollydale Elementary School	Gresham-Barlow SD 10J	45.4927796	-122.4542889
938	North Gresham Elementary School	Gresham-Barlow SD 10J	45.5158826	-122.4393875
